ID	numer_rejestracyjny	marka	rok_produkcji	id_wlasciciela
1	NOG5192	fiat	2004	228
2	KNS2624	opel	2002	118
3	RK18224	opel	1996	290
4	RKR2396	opel	2002	291
5	RTA3127	mazda	2001	508
6	CW23003	opel	2001	429
7	PKN8919	fiat	1998	89
8	CLI3882	renault	1995	598
9	DJ40543	opel	1994	443
10	PLE4020	opel	2006	483
11	DOA3393	opel	2003	553
12	LU49073	toyota	2001	66
13	FSD7528	fiat	2009	381
14	PPL7616	fiat	2009	362
15	BI21534	fiat	2009	41
16	BI03060	skoda	2000	254
17	PEW4873	toyota	1995	263
18	DJ35435	renault	1994	578
19	FZI4062	skoda	2008	470
20	RBI8785	peugeot	2001	47
21	KPR9172	toyota	2006	99
22	DZG6498	fiat	2007	266
23	CBR5295	peugeot	1995	248
24	NKE4141	chrysler	2009	196
25	GDA7400	fiat	1995	214
26	NPI8546	peugeot	1996	457
27	NOG5017	chrysler	2002	241
28	CAL6086	skoda	2004	129
29	RBI1550	opel	1999	62
30	PCZ1500	fiat	2004	312
31	ZPL5815	opel	2009	128
32	FZI7940	fiat	1997	98
33	GDA3050	citroen	1998	232
34	DW21154	peugeot	2000	336
35	DJ79147	toyota	2004	96
36	LRA3731	skoda	1996	678
37	SNY4090	skoda	2008	452
38	DJE8763	skoda	1996	46
39	LBI9970	renault	2002	517
40	DW22505	peugeot	2003	270
41	DJ37262	renault	1997	300
42	FGW2408	renault	1995	620
43	LBI9904	seat	2006	606
44	RSA2738	opel	2004	448
45	CRA6200	skoda	2005	220
46	DJ66624	fiat	1997	194
47	DGL5448	fiat	1996	506
48	LUB9049	fiat	2003	328
49	LHR3507	skoda	1996	55
50	SZO7892	opel	2009	549
51	KTA9565	toyota	1994	607
52	RSA7551	fiat	1996	401
53	PLE8359	lancia	1997	250
54	RNI8509	peugeot	2008	63
55	PNT6846	skoda	2004	649
56	PPL4156	chrysler	1999	684
57	SBE1385	fiat	1996	101
58	GCZ6868	fiat	1994	686
59	BMN2493	renault	2001	37
60	BL79493	renault	2004	657
61	RPR4065	chrysler	2005	566
62	ONY9768	honda	1998	420
63	NKE8081	nissan	2008	272
64	BI89895	skoda	2000	618
65	PEW6722	daewoo	1997	286
66	ZMY9027	opel	1997	262
67	BI03060	skoda	2000	254
68	RBR3832	fiat	1997	319
69	PSE5673	skoda	2000	438
70	SBE3182	fiat	2003	101
71	PKA1023	fiat	2006	404
72	PSR1046	fiat	1999	516
73	ZGY1226	fiat	1994	236
74	DKL8403	volvo	2000	529
75	KBR1063	toyota	2000	187
76	DSR8330	fiat	2004	486
77	PTU5421	renault	2004	278
78	KR85286	volkswagen	1997	113
79	BI23405	peugeot	2005	32
80	DJA8532	skoda	2002	304
81	DLU6832	lancia	2006	456
82	DJA9493	fiat	2000	524
83	ESK6962	opel	1996	350
84	RBR3754	fiat	2005	355
85	RLU3762	opel	2001	619
86	ZSL2295	saab	2000	538
87	CIN2243	fiat	2001	582
88	KGR9380	toyota	2009	475
89	POB8115	renault	2001	393
90	PKN5629	chrysler	2002	434
91	PK95832	skoda	2006	526
92	RLS8555	fiat	2008	151
93	DGL1624	mercedes	1995	251
94	CBR4931	skoda	2006	372
95	RK91266	skoda	2008	479
96	DGR4034	toyota	2009	119
97	PLE9083	fiat	2000	510
98	RLA2354	renault	2008	325
99	NWE4941	skoda	2000	467
100	PCZ5481	chrysler	2000	173
101	CLI1072	fiat	2007	580
102	GWE6003	fiat	1998	654
103	ZKL3214	peugeot	2003	638
104	GBY8975	toyota	1996	240
105	RZ60462	opel	2001	82
106	NSZ2811	mazda	2005	631
107	SBE6187	kia	2009	348
108	PSL5577	seat	1996	679
109	FZI8015	mercedes	2002	49
110	DKA5579	fiat	2001	482
111	RST7924	skoda	2005	95
112	RJA2786	skoda	2006	103
113	DDZ9767	seat	2005	641
114	ZSD3499	fiat	1995	104
115	RPR4748	fiat	2007	77
116	ZBI6491	fiat	2006	365
117	RLE7070	renault	2002	246
118	SZO7215	volvo	1995	548
119	DJE1932	fiat	2009	52
120	SNY4836	renault	2004	126
121	PCH3068	fiat	2001	496
122	STA1464	fiat	2003	57
123	DSR5697	opel	1996	281
124	PNT6071	citroen	2009	311
125	KMI8443	fiat	2007	660
126	NEL1636	seat	2009	301
127	RJA8046	mercedes	2008	501
128	RK99639	fiat	1994	198
129	BHA8435	skoda	2004	315
130	RTA1745	daewoo	2007	115
131	CBR3578	fiat	1997	352
132	RLU9818	fiat	2006	673
133	BSK4797	opel	2006	409
134	KR21004	fiat	2003	142
135	BSK2660	bmw	2007	440
136	DW75259	volkswagen	1998	490
137	DJE9927	citroen	1997	21
138	LLE5253	fiat	2006	609
139	DW86962	fiat	2006	176
140	BI87252	opel	2009	150
141	GDA7640	skoda	1998	423
142	RNI7331	renault	1998	38
143	DJ82444	fiat	1996	48
144	DW49125	chrysler	2003	605
145	LLU8531	fiat	2008	124
146	PGS3088	opel	2008	317
147	KRA1360	toyota	1997	87
148	FGW7055	peugeot	2007	555
149	FSD1243	renault	2005	391
150	CW62454	opel	2003	186
151	LBL6103	toyota	2004	193
152	BI45035	mercedes	1998	494
153	RJS7083	opel	2006	557
154	ZSZ7618	skoda	2002	141
155	ZST9106	fiat	2005	492
156	FKR6096	daewoo	2001	629
157	DW71800	chrysler	2001	270
158	ELK2494	peugeot	1995	23
159	ZPY1405	mercedes	1996	373
160	ELK4968	skoda	2002	345
161	SG91293	skoda	1999	183
162	FNW1532	fiat	1996	247
163	LHR9277	skoda	2007	464
164	SRC8138	daewoo	1999	84
165	KNT9157	honda	2001	243
166	LTM7707	renault	1997	347
167	POB1574	renault	1998	215
168	PLE9367	saab	2002	681
169	FGW7505	opel	1998	476
170	PSL9030	skoda	2003	67
171	POB9172	toyota	2006	656
172	OST8640	skoda	2004	430
173	PLE4785	peugeot	2004	676
174	SG69846	fiat	1995	554
175	GND2190	skoda	2007	371
176	LU70033	toyota	2007	512
177	DW21323	fiat	1995	473
178	KLI2565	fiat	2006	399
179	FGW9762	skoda	1999	597
180	KBR6604	renault	2007	419
181	GKS5459	fiat	1998	8
182	PSL5683	fiat	1996	589
183	CLI2974	fiat	1997	367
184	RZ62436	fiat	2009	396
185	ZK60335	fiat	1997	175
186	ZKA6281	skoda	2001	72
187	ZKA4108	fiat	2000	91
188	CTR4650	renault	1995	442
189	DJ85803	lancia	2001	123
190	CMG3232	fiat	1995	85
191	NPI9034	mercedes	2000	374
192	CWL1669	skoda	2007	383
193	DZL5943	opel	2002	217
194	ESK8407	skoda	2001	640
195	CT71053	skoda	2008	632
196	PKR2419	chrysler	2004	375
197	LJA4299	renault	2003	389
198	RPR4663	seat	2008	556
199	BSI6710	audi	2003	343
200	FSD3142	renault	1999	340
201	PGS9942	lancia	2003	86
202	STA1291	kia	1999	560
203	PL50208	seat	2008	369
204	GCH9779	chrysler	1995	690
205	OP82354	seat	2002	252
206	FSD1970	daewoo	1998	273
207	DL46093	toyota	2004	138
208	GCH7707	opel	2009	284
209	KSU6969	fiat	1996	466
210	FSW3360	peugeot	2009	425
211	KTA3662	saab	2003	197
212	PCZ2875	renault	2004	472
213	KKT1293	fiat	2003	306
214	ZDR8768	seat	2007	259
215	DB35095	toyota	2001	489
216	LU88129	skoda	2008	168
217	FSD6303	renault	2007	584
218	PWA1290	chrysler	2003	615
219	PCZ7730	renault	2003	145
220	LJA8634	fiat	2002	659
221	ZSD8301	skoda	1996	435
222	DKL8674	toyota	1994	326
223	DL29759	mercedes	1997	156
224	FNW6250	skoda	1996	92
225	PSR4006	peugeot	2003	576
226	DSR9248	daewoo	2007	562
227	FZA9191	skoda	2002	329
228	OP77389	chrysler	1995	453
229	LBL2857	renault	2009	366
230	KMI4477	renault	2000	670
231	DPL2105	lancia	1998	245
232	FKR8829	opel	2009	18
233	PPL9048	renault	2000	331
234	DJ63204	lancia	1994	127
235	DW47625	toyota	2008	163
236	DJ94313	daewoo	2000	416
237	OP23950	daewoo	1999	295
238	RLE5501	chrysler	1996	621
239	ZGY2858	mercedes	1994	258
240	CGD8118	fiat	2009	218
241	LBI6152	fiat	2000	537
242	PCT7548	toyota	2001	60
243	KNS1656	peugeot	2000	542
244	PO89971	peugeot	2009	461
245	ZKA5982	opel	2008	565
246	RBR5062	fiat	2003	502
247	DJ73433	opel	2006	207
248	RKR6529	skoda	1997	672
249	BL80265	honda	1999	53
250	KPR2692	daewoo	2008	634
251	RKL7606	daewoo	2001	511
252	BSI7373	skoda	1998	333
253	PSE5341	fiat	2006	650
254	LBI8039	fiat	2008	450
255	ZCH7248	fiat	1997	188
256	EPD5891	skoda	1996	644
257	ZWA9230	renault	2001	172
258	RLA5076	renault	1995	276
259	ZSW6686	fiat	2008	323
260	NEL3238	fiat	1995	341
261	EPD5234	lancia	1999	177
262	DOA2020	toyota	2003	384
263	LLU9219	fiat	2005	591
264	GSP3678	fiat	1998	184
265	BL84925	fiat	1996	110
266	PSE5725	daewoo	1995	5
267	RK14774	opel	2005	208
268	DZL1567	skoda	2003	11
269	FKR3128	peugeot	2004	133
270	PSR8041	fiat	1996	74
271	RZ58701	skoda	1998	35
272	ZMY6475	opel	2004	309
273	CZN8898	mazda	1997	200
274	PK32671	fiat	2001	503
275	DBA3283	fiat	1995	469
276	ELE7023	fiat	1995	121
277	NGO5100	mercedes	1999	158
278	RNI8906	opel	1996	224
279	CT95703	opel	2001	525
280	OP82054	volvo	2008	252
281	RMI7052	skoda	2001	16
282	DKA9085	saab	1995	663
283	KBR4314	skoda	2003	431
284	RLS1971	skoda	2007	471
285	CZN6454	renault	2005	488
286	PKS9027	skoda	2000	528
287	GCH5582	mercedes	2005	587
288	DSW2189	skoda	2004	51
289	SO53412	skoda	2009	211
290	DJ16323	fiat	2003	626
291	PPL8662	peugeot	1994	102
292	DSR7406	daewoo	1996	377
293	PK32613	fiat	2000	185
294	FZI5110	mercedes	2001	15
295	DJE8913	renault	2004	93
296	PRA7556	mercedes	1996	342
297	ZGR6644	skoda	1999	285
298	ZWA4456	skoda	1998	267
299	LU78914	opel	1995	44
300	GSP6376	fiat	1998	521
301	LLU3159	skoda	2003	167
302	ZGR1349	saab	2004	299
303	SZO8898	daewoo	1996	509
304	ZPL4345	fiat	1996	652
305	RSA6203	fiat	1994	370
306	FNW7369	fiat	1995	572
307	ELE5131	skoda	2003	223
308	ZSL2591	skoda	2002	242
309	LJA5534	opel	2007	382
310	DW24843	opel	2004	178
311	DB47144	fiat	2004	534
312	PO88513	fiat	1999	20
313	ZCH3442	peugeot	1995	668
314	NWE4018	fiat	1996	356
315	BSK3727	renault	1994	179
316	DDZ5943	opel	1996	541
317	BBI1850	skoda	2005	462
318	PNT5970	fiat	1995	447
319	PKS3284	lancia	1999	427
320	KGR2641	peugeot	1997	76
321	BAU3353	renault	2003	155
322	DJE6597	toyota	1996	610
323	DW46098	mercedes	1999	665
324	RTA9052	skoda	1999	495
325	CWL5723	mercedes	1999	230
326	BSK5893	skoda	1999	648
327	ZKL4249	fiat	2006	199
328	GA92059	fiat	1998	288
329	OK12171	bmw	1997	394
330	BBI1859	daewoo	2005	395
331	OK17136	skoda	1996	351
332	KNT1559	opel	2009	334
333	CWL1412	audi	1994	4
334	PTU5955	audi	1994	225
335	PCT5879	peugeot	2002	604
336	GCZ2210	mercedes	1994	688
337	FSW1459	fiat	1995	637
338	OP41243	renault	2009	219
339	GTC7625	toyota	1994	33
340	RK84689	saab	1999	497
341	ZK86164	chrysler	1998	338
342	DBA9927	opel	1996	533
343	GWE6339	toyota	2003	545
344	BAU1876	skoda	2002	244
345	GWE7183	fiat	2002	106
346	EPD5784	opel	1998	195
347	NSZ2523	mercedes	1996	235
348	PRA4527	fiat	2002	305
349	DL41003	skoda	2002	387
350	RLE4294	renault	2009	499
351	DPL7463	skoda	2001	58
352	SO14164	fiat	2005	685
353	ZGY8836	mazda	1995	518
354	CIN5922	opel	2005	601
355	PPL7908	skoda	2008	209
356	PKA1353	fiat	2008	683
357	PWA3461	peugeot	2004	45
358	RTA1728	fiat	1999	410
359	FZA9532	renault	2002	515
360	PEW5907	peugeot	2007	50
361	DW89033	saab	2005	7
362	PRA8553	toyota	1997	265
363	RLA1267	renault	1998	303
364	GKS7195	fiat	1995	358
365	ONY9423	opel	1998	169
366	LU82822	toyota	2006	354
367	PSR1121	skoda	1995	363
368	PSL1648	fiat	1995	43
369	CRA1739	opel	2001	414
370	SD86558	skoda	2008	253
371	CW23550	opel	1996	616
372	GND4488	mazda	2002	189
373	RSA2625	fiat	2005	449
374	GA91590	toyota	2004	125
375	OPR8555	opel	1996	293
376	KR97940	skoda	1997	132
377	RLE9998	skoda	1996	630
378	GPU4229	opel	1998	289
379	BBI5067	bmw	2007	3
380	LTM2878	skoda	2000	463
381	ZPY9814	opel	1998	544
382	GDA2473	fiat	2004	689
383	RKL5431	renault	2005	297
384	DW87065	fiat	1998	226
385	ZDR5690	skoda	1996	551
386	SD78133	skoda	1997	283
387	RTA3181	skoda	1996	437
388	FSD6958	renault	2002	68
389	RLA8478	skoda	2001	460
390	ZSW1891	opel	2000	583
391	ZPL6370	opel	1999	54
392	KCH2524	nissan	2006	39
393	ESK1959	fiat	2006	385
394	LLU8125	skoda	2000	667
395	KLI8005	fiat	1998	451
396	PKR9139	opel	2002	454
397	FGW8203	saab	2005	581
398	POB2144	chrysler	2002	465
399	SBE8180	renault	2009	274
400	GDA9242	fiat	1999	418
401	RPZ2733	mazda	1999	485
402	CGD5665	skoda	1997	109
403	CRA7854	fiat	1999	136
404	RK21584	fiat	2002	361
405	ZBI4842	mazda	1994	498
406	GCZ4657	fiat	1998	687
407	LBI6785	fiat	1998	337
408	FZI4763	daewoo	1997	277
409	RBR3296	mazda	1997	1
410	BIA1274	mazda	1997	206
411	OPL1726	peugeot	2008	536
412	ZBI2250	seat	1994	112
413	ZGR7363	fiat	2004	569
414	ZBI2926	peugeot	2007	181
415	NGO3405	saab	1994	131
416	KTA2142	opel	2005	344
417	ZCH3391	opel	2008	83
418	RJS5373	fiat	1995	294
419	DZG7321	honda	2000	625
420	CIN5539	opel	2004	34
421	LRA2818	renault	2002	406
422	PKN4514	skoda	2007	73
423	SO92228	renault	1998	680
424	OP69403	skoda	1997	530
425	BL29225	mercedes	2001	154
426	BL83185	renault	1999	88
427	BSK4473	volvo	1994	596
428	PGS7668	peugeot	1998	56
429	LTM8266	skoda	1997	608
430	PKR6509	nissan	1994	231
431	CT14334	peugeot	1994	316
432	LU70503	toyota	2003	153
433	RLE4628	renault	1994	415
434	ZST4623	fiat	1994	233
435	DL27602	skoda	1998	138
436	DLU6211	skoda	1994	282
437	CTR5544	fiat	1994	170
438	DJE2814	fiat	2002	568
439	CAL4550	opel	2004	514
440	LUB8127	fiat	1999	148
441	RKR6026	opel	2006	481
442	RDE2121	saab	2000	376
443	BL24933	skoda	1994	439
444	RPZ4224	fiat	2002	149
445	ZPY4929	skoda	2008	90
446	PO52643	toyota	1996	493
447	DLU8512	mazda	2006	577
448	DSR7622	volvo	1995	25
449	PPL1472	mercedes	2005	617
450	PLE8459	daewoo	2004	504
451	LUB4525	fiat	2008	27
452	DW36266	fiat	1998	585
453	DBA2491	fiat	1999	249
454	RJS6750	fiat	2000	24
455	PKN1824	renault	2009	322
456	RPZ5569	fiat	1996	513
457	ZBI7329	daewoo	2006	40
458	LUB5273	fiat	1996	134
459	EPD1918	fiat	2009	160
460	BL91427	opel	2009	500
461	RLU1728	skoda	1995	152
462	ZWA7731	skoda	2001	484
463	DKL9008	saab	2003	480
464	RPR3192	skoda	2005	523
465	OST9033	skoda	2005	238
466	PTU8886	audi	2004	633
467	BL91473	opel	2003	674
468	ONY1613	saab	2004	314
469	PEW8962	skoda	2004	191
470	LU20372	skoda	2006	558
471	GPU2289	skoda	1996	29
472	BHA9302	volvo	2008	593
473	DGR9115	fiat	1996	280
474	SRC8267	bmw	2008	166
